growth_transitions,location,year,diseases,scenario,both,disability,mortality
FALSE,Global,2147,Ageing-related,100% reduction,2558.817345245426,450.06695664780045,1492.454865053113
FALSE,Global,2148,Ageing-related,100% reduction,2550.3260471372987,447.86019364564703,1488.3593862183648
FALSE,Global,2023,Infant,100% reduction,150.21259363998604,150.21259363998604,0
FALSE,Global,2024,Infant,100% reduction,161.14132326024531,151.68496722759915,9.161240745404243
FALSE,Global,2025,Infant,100% reduction,172.20019529192828,153.15022036835194,18.470542205410002
FALSE,Global,2026,Infant,100% reduction,183.25350003775787,154.57054277474785,27.817797212225916
FALSE,Global,2027,Infant,100% reduction,194.30655858533098,155.96723964320947,37.188003386009214
FALSE,Global,2028,Infant,100% reduction,205.3369844152956,157.35269496323966,46.55667872848511
FALSE,Global,2029,Infant,100% reduction,216.37193545685767,158.70913069728184,55.95842295162105
FALSE,Global,2030,Infant,100% reduction,227.42847233478068,160.05243627157117,65.39417745006276
FALSE,Global,2031,Infant,100% reduction,238.5082055062065,161.37968779817678,74.86837486591052
FALSE,Global,2032,Infant,100% reduction,249.59934894981288,162.6843184654112,84.37700445628738
FALSE,Global,2033,Infant,100% reduction,260.65608195231727,163.97925448999976,93.87859662155819
FALSE,Global,2034,Infant,100% reduction,271.7035367682638,165.22810649473954,103.41697795406151
FALSE,Global,2035,Infant,100% reduction,282.7696011729641,166.45425906733323,112.99579609295273
FALSE,Global,2036,Infant,100% reduction,293.8541868374462,167.65553132254885,122.6170414528656
FALSE,Global,2037,Infant,100% reduction,304.94906032848456,168.8286381854391,132.27651830203055
FALSE,Global,2038,Infant,100% reduction,316.01956206348893,169.97901344900703,141.94568448401833
FALSE,Global,2039,Infant,100% reduction,327.1113575376501,171.08171181120588,151.68172729279996
FALSE,Global,2040,Infant,100% reduction,338.2668953641567,172.15185811230182,161.51024474111654
FALSE,Global,2041,Infant,100% reduction,349.52078099302196,173.1929339666319,171.46105988284492
FALSE,Global,2042,Infant,100% reduction,360.8956680411806,174.2000281476822,181.5606236795349
FALSE,Global,2043,Infant,100% reduction,372.39028462056353,175.17698011275579,191.80723459127046
FALSE,Global,2044,Infant,100% reduction,384.0622892291508,176.1130389882698,202.26358658784295
FALSE,Global,2045,Infant,100% reduction,395.94154337186336,177.01230862314605,212.95445686065005
FALSE,Global,2046,Infant,100% reduction,408.04205787068844,177.8734299437914,223.89493354793643
FALSE,Global,2047,Infant,100% reduction,420.37102203251743,178.69910702855873,235.08938177965547
FALSE,Global,2048,Infant,100% reduction,432.8914729147625,179.48887987327575,246.50328883480452
FALSE,Global,2049,Infant,100% reduction,445.6449257108707,180.2363720410118,258.1827882334499
FALSE,Global,2050,Infant,100% reduction,458.6366919268131,180.9431812545357,270.1317046691399
FALSE,Global,2051,Infant,100% reduction,471.8644856184797,181.61103138566588,282.34650757550145
FALSE,Global,2052,Infant,100% reduction,485.3194873111706,182.2420998251257,294.8167809689312
FALSE,Global,2053,Infant,100% reduction,498.9566728315687,182.83983595403194,307.4971512729559
FALSE,Global,2054,Infant,100% reduction,512.7885295299416,183.39725284089087,320.405749313694
FALSE,Global,2055,Infant,100% reduction,526.799119248993,183.91558709026813,333.5263460360737
FALSE,Global,2056,Infant,100% reduction,540.9742439768944,184.40146839957237,346.8390827313366
FALSE,Global,2057,Infant,100% reduction,555.2926023970041,184.8571811020975,360.3213870320673
