"year","age_name","cluster_4","val","age","measure"
"2023","25-29 years","Adult (early)","0.0447067817395747","25-29 years","Disability"
"2023","25-29 years","Adult (late)","0.0217385517132277","25-29 years","Disability"
"2023","25-29 years","Ageing-related","0.0183759054864436","25-29 years","Disability"
"2023","30-34 years","Infant","0.0160382754522547","30-34 years","Disability"
"2023","30-34 years","Adult (early)","0.0459727410780438","30-34 years","Disability"
"2023","30-34 years","Adult (late)","0.026853024678794902","30-34 years","Disability"
"2023","30-34 years","Ageing-related","0.0223155677285282","30-34 years","Disability"
"2023","35-39 years","Infant","0.0153168012175448","35-39 years","Disability"
"2023","35-39 years","Adult (early)","0.0465712859123367","35-39 years","Disability"
"2023","35-39 years","Adult (late)","0.0319529263214037","35-39 years","Disability"
"2023","35-39 years","Ageing-related","0.0271574192297381","35-39 years","Disability"
"2023","40-44 years","Infant","0.0150767693876368","40-44 years","Disability"
"2023","40-44 years","Adult (early)","0.0459705433847291","40-44 years","Disability"
"2023","40-44 years","Adult (late)","0.0379735263063762","40-44 years","Disability"
"2023","40-44 years","Ageing-related","0.0337406680902269","40-44 years","Disability"
"2023","45-49 years","Infant","0.0143514968843673","45-49 years","Disability"
"2023","45-49 years","Adult (early)","0.0424852337431547","45-49 years","Disability"
"2023","45-49 years","Adult (late)","0.0440297506076851","45-49 years","Disability"
"2023","45-49 years","Ageing-related","0.0438724674145782","45-49 years","Disability"
"2023","5-9 years","Infant","0.0271369136312222","5-9 years","Disability"
"2023","5-9 years","Adult (early)","0.011919039565731","5-9 years","Disability"
"2023","5-9 years","Adult (late)","0.0014374453408473999","5-9 years","Disability"
"2023","5-9 years","Ageing-related","0.011614190432352199","5-9 years","Disability"
"2023","50-54 years","Infant","0.0133800879112859","50-54 years","Disability"
"2023","50-54 years","Adult (early)","0.0397711082998966","50-54 years","Disability"
"2023","50-54 years","Adult (late)","0.0498311120443485","50-54 years","Disability"
"2023","50-54 years","Ageing-related","0.0569891077506841","50-54 years","Disability"
"2023","55-59 years","Infant","0.0128867089281701","55-59 years","Disability"
"2023","55-59 years","Adult (early)","0.0363315630935664","55-59 years","Disability"
"2023","55-59 years","Adult (late)","0.055050066105627","55-59 years","Disability"
"2023","55-59 years","Ageing-related","0.073963785494045","55-59 years","Disability"
"2023","60-64 years","Infant","0.012275479342162299","60-64 years","Disability"
"2023","60-64 years","Adult (early)","0.034031138780358704","60-64 years","Disability"
"2023","60-64 years","Adult (late)","0.0599759816434875","60-64 years","Disability"
"2023","60-64 years","Ageing-related","0.0954445500108227","60-64 years","Disability"
"2023","65-69 years","Infant","0.0117112178718647","65-69 years","Disability"
"2023","65-69 years","Adult (early)","0.030884486120699498","65-69 years","Disability"
"2023","65-69 years","Adult (late)","0.0638394745431283","65-69 years","Disability"
"2023","65-69 years","Ageing-related","0.1217098671264956","65-69 years","Disability"
"2023","70-74 years","Infant","0.0112492911572969","70-74 years","Disability"
"2023","70-74 years","Adult (early)","0.027825107580073997","70-74 years","Disability"
"2023","70-74 years","Adult (late)","0.0669867790403615","70-74 years","Disability"
"2023","70-74 years","Ageing-related","0.1510996073044228","70-74 years","Disability"
"2023","75-79 years","Infant","0.0110006119071905","75-79 years","Disability"
"2023","75-79 years","Adult (early)","0.0250327463315849","75-79 years","Disability"
"2023","75-79 years","Adult (late)","0.06696695848698589","75-79 years","Disability"
"2023","75-79 years","Ageing-related","0.1845743511111935","75-79 years","Disability"
"2023","80-84 years","Infant","0.0109117818330639","80-84 years","Disability"
"2023","80-84 years","Adult (early)","0.022623207506287102","80-84 years","Disability"
"2023","80-84 years","Adult (late)","0.0636795156235437","80-84 years","Disability"
"2023","80-84 years","Ageing-related","0.2239940834395042","80-84 years","Disability"
"2023","85-89 years","Infant","0.0105940775746001","85-89 years","Disability"
"2023","85-89 years","Adult (early)","0.021200875075199202","85-89 years","Disability"
"2023","85-89 years","Adult (late)","0.058910562906115","85-89 years","Disability"
"2023","85-89 years","Ageing-related","0.26785263682943017","85-89 years","Disability"
"2023","90-94 years","Infant","0.0106652585002173","90-94 years","Disability"
"2023","90-94 years","Adult (early)","0.0200558646028882","90-94 years","Disability"
"2023","90-94 years","Adult (late)","0.0525961734415255","90-94 years","Disability"
"2023","90-94 years","Ageing-related","0.31124113590237423","90-94 years","Disability"
"2023","95-99 years","Infant","0.0117400202894785","95-99 years","Disability"
"2023","95-99 years","Adult (early)","0.0191340379541402","95-99 years","Disability"
"2023","95-99 years","Adult (late)","0.0477848373284029","95-99 years","Disability"
"2023","95-99 years","Ageing-related","0.3543993454644228","95-99 years","Disability"
