"location","year","age_name","age","disability","disability_infant","disability_adult_early","disability_adult_late","disability_ageing","disability_covid","disability_ageing_nocov"
"Global",2023,"2-4 years",3,4412.19883665515,3086.14825713774,196.52287869015,42.92907438293,1086.59862644433,98.74226322589,987.85636321844
"Global",2023,"2-4 years",4,4412.19883665515,3086.14825713774,196.52287869015,42.92907438293,1086.59862644433,98.74226322589,987.85636321844
"Global",2023,"5-9 years",5,5210.75889701528,2713.69136312222,1191.9039565731,143.74453408474,1161.41904323522,119.17369730662,1042.2453459286
"Global",2023,"5-9 years",6,5210.75889701528,2713.69136312222,1191.9039565731,143.74453408474,1161.41904323522,119.17369730662,1042.2453459286
"Global",2023,"5-9 years",7,5210.75889701528,2713.69136312222,1191.9039565731,143.74453408474,1161.41904323522,119.17369730662,1042.2453459286
"Global",2023,"5-9 years",8,5210.75889701528,2713.69136312222,1191.9039565731,143.74453408474,1161.41904323522,119.17369730662,1042.2453459286
"Global",2023,"5-9 years",9,5210.75889701528,2713.69136312222,1191.9039565731,143.74453408474,1161.41904323522,119.17369730662,1042.2453459286
"Global",2023,"10-14 years",10,6655.7485397769,2262.49970889707,2765.03394380186,492.00333006067,1136.2115570173,124.50549921717,1011.70605780013
"Global",2023,"10-14 years",11,6655.7485397769,2262.49970889707,2765.03394380186,492.00333006067,1136.2115570173,124.50549921717,1011.70605780013
"Global",2023,"10-14 years",12,6655.7485397769,2262.49970889707,2765.03394380186,492.00333006067,1136.2115570173,124.50549921717,1011.70605780013
"Global",2023,"10-14 years",13,6655.7485397769,2262.49970889707,2765.03394380186,492.00333006067,1136.2115570173,124.50549921717,1011.70605780013
"Global",2023,"10-14 years",14,6655.7485397769,2262.49970889707,2765.03394380186,492.00333006067,1136.2115570173,124.50549921717,1011.70605780013
"Global",2023,"15-19 years",15,7930.49476305338,1966.04573248767,3670.24543184723,1024.19867104444,1270.00492767404,130.82454650634,1139.1803811677
"Global",2023,"15-19 years",16,7930.49476305338,1966.04573248767,3670.24543184723,1024.19867104444,1270.00492767404,130.82454650634,1139.1803811677
"Global",2023,"15-19 years",17,7930.49476305338,1966.04573248767,3670.24543184723,1024.19867104444,1270.00492767404,130.82454650634,1139.1803811677
"Global",2023,"15-19 years",18,7930.49476305338,1966.04573248767,3670.24543184723,1024.19867104444,1270.00492767404,130.82454650634,1139.1803811677
"Global",2023,"15-19 years",19,7930.49476305338,1966.04573248767,3670.24543184723,1024.19867104444,1270.00492767404,130.82454650634,1139.1803811677
"Global",2023,"20-24 years",20,8987.69529455825,1838.90011591848,4043.02100127596,1576.87751088054,1528.89666648327,199.99855968657,1328.8981067967
"Global",2023,"20-24 years",21,8987.69529455825,1838.90011591848,4043.02100127596,1576.87751088054,1528.89666648327,199.99855968657,1328.8981067967
"Global",2023,"20-24 years",22,8987.69529455825,1838.90011591848,4043.02100127596,1576.87751088054,1528.89666648327,199.99855968657,1328.8981067967
"Global",2023,"20-24 years",23,8987.69529455825,1838.90011591848,4043.02100127596,1576.87751088054,1528.89666648327,199.99855968657,1328.8981067967
"Global",2023,"20-24 years",24,8987.69529455825,1838.90011591848,4043.02100127596,1576.87751088054,1528.89666648327,199.99855968657,1328.8981067967
"Global",2023,"25-29 years",25,10214.3332554797,1732.20936155509,4470.67817395747,2173.85517132277,1837.59054864436,197.31015198796,1640.2803966564
"Global",2023,"25-29 years",26,10214.3332554797,1732.20936155509,4470.67817395747,2173.85517132277,1837.59054864436,197.31015198796,1640.2803966564
"Global",2023,"25-29 years",27,10214.3332554797,1732.20936155509,4470.67817395747,2173.85517132277,1837.59054864436,197.31015198796,1640.2803966564
"Global",2023,"25-29 years",28,10214.3332554797,1732.20936155509,4470.67817395747,2173.85517132277,1837.59054864436,197.31015198796,1640.2803966564
"Global",2023,"25-29 years",29,10214.3332554797,1732.20936155509,4470.67817395747,2173.85517132277,1837.59054864436,197.31015198796,1640.2803966564
"Global",2023,"30-34 years",30,11117.9608937622,1603.82754522547,4597.27410780438,2685.30246787949,2231.55677285282,186.46320172724,2045.09357112558
