"","cause_name","cluster_4","daly_percent_condition","daly_percent_condcluster","level1_name"
"134","Klinefelter syndrome","Adult (early)",0.000238068761336048,0.00148674587469251,"Non-communicable diseases"
"135","Larynx cancer","Adult (late)",0.127321406201839,0.832274392453234,"Non-communicable diseases"
"136","Late maternal deaths","Adult (early)",0.0173076529879115,0.108086762563798,"Communicable, maternal, neonatal, and nutritional diseases"
"137","Latent tuberculosis infection","Adult (early)",0,0,"Communicable, maternal, neonatal, and nutritional diseases"
"138","Leprosy","Adult (late)",0.0006639635364798,0.00434019592949521,"Communicable, maternal, neonatal, and nutritional diseases"
"139","Lip and oral cavity cancer","Adult (late)",0.230676669496697,1.50788693500721,"Non-communicable diseases"
"140","Liver cancer due to NASH","Adult (late)",0.0377822563842957,0.246975001422015,"Non-communicable diseases"
"141","Liver cancer due to alcohol use","Adult (late)",0.0872048794928741,0.570040735992446,"Non-communicable diseases"
"142","Liver cancer due to hepatitis B","Adult (late)",0.214983300495702,1.40530254216645,"Non-communicable diseases"
"143","Liver cancer due to hepatitis C","Ageing-related",0.121302555838606,0.289965359234636,"Non-communicable diseases"
"144","Liver cancer due to other causes","Adult (late)",0.0254878226139895,0.166608763709269,"Non-communicable diseases"
"145","Low back pain","Adult (late)",2.51774206696146,16.4579728707398,"Non-communicable diseases"
"146","Lower extremity peripheral arterial disease","Ageing-related",0.0665631707897313,0.15911465011109,"Non-communicable diseases"
"147","Lower respiratory infections","Infant",3.52908551002547,13.1408757104171,"Communicable, maternal, neonatal, and nutritional diseases"
"148","Lymphatic filariasis","Adult (early)",0.0534315928571017,0.333681747293223,"Communicable, maternal, neonatal, and nutritional diseases"
"149","Major depressive disorder","Adult (early)",1.69864933245449,10.60811117512,"Non-communicable diseases"
"150","Malaria","Infant",1.84402879536523,6.86641146480741,"Communicable, maternal, neonatal, and nutritional diseases"
"151","Male infertility","Adult (early)",0.011678052258047,0.0729297532429596,"Non-communicable diseases"
"152","Malignant neoplasm of bone and articular cartilage","Adult (late)",0.107866782284923,0.705103433665758,"Non-communicable diseases"
"153","Malignant skin melanoma","Ageing-related",0.0652383505056941,0.155947758969132,"Non-communicable diseases"
"154","Maternal abortion and miscarriage","Adult (early)",0.0451136446642203,0.281735935115807,"Communicable, maternal, neonatal, and nutritional diseases"
"155","Maternal deaths aggravated by HIV/AIDS","Adult (early)",0.00343557007469472,0.0214552283428713,"Communicable, maternal, neonatal, and nutritional diseases"
"156","Maternal hemorrhage","Adult (early)",0.113822427361453,0.710824147517014,"Communicable, maternal, neonatal, and nutritional diseases"
"157","Maternal hypertensive disorders","Adult (early)",0.110281722677249,0.688712350684866,"Communicable, maternal, neonatal, and nutritional diseases"
"158","Maternal obstructed labor and uterine rupture","Adult (early)",0.0402973968091286,0.251658336568778,"Communicable, maternal, neonatal, and nutritional diseases"
"159","Maternal sepsis and other maternal infections","Adult (early)",0.0597347386978857,0.373045064108834,"Communicable, maternal, neonatal, and nutritional diseases"
"160","Measles","Infant",0.44612897762324,1.66120243590247,"Communicable, maternal, neonatal, and nutritional diseases"
"161","Meningitis","Infant",0.625051348319802,2.32743640174359,"Communicable, maternal, neonatal, and nutritional diseases"
"162","Mesothelioma","Ageing-related",0.02232317447982,0.0533620026597851,"Non-communicable diseases"
"163","Migraine","Adult (early)",1.46156164440244,9.12749212970809,"Non-communicable diseases"
"164","Motor neuron disease","Adult (late)",0.0435640177192538,0.284769210941924,"Non-communicable diseases"
"165","Motor vehicle road injuries","Adult (early)",1.07000410199545,6.6822046522108,"Injuries"
"166","Motorcyclist road injuries","Adult (early)",0.64956360145324,4.05654231740142,"Injuries"
"167","Multidrug-resistant tuberculosis without extensive drug resistance","Adult (late)",0.132785733755432,0.867993601268935,"Communicable, maternal, neonatal, and nutritional diseases"
"168","Multiple myeloma","Ageing-related",0.100562992817548,0.240388870098068,"Non-communicable diseases"
"169","Multiple sclerosis","Adult (late)",0.0381951411316633,0.24967394586914,"Non-communicable diseases"
"170","Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms","Ageing-related",0.0436703622119837,0.104390976588758,"Non-communicable diseases"
"171","Myocarditis","Ageing-related",0.0232098555579633,0.0554815523722617,"Non-communicable diseases"
"172","Nasopharynx cancer","Adult (late)",0.092355896469866,0.603711896663151,"Non-communicable diseases"
"173","Near vision loss","Adult (late)",0.20148136100166,1.31704308270423,"Non-communicable diseases"
"174","Neck pain","Adult (late)",0.740732171733442,4.84201703853874,"Non-communicable diseases"
"175","Neonatal encephalopathy due to birth asphyxia and trauma","Infant",1.96461165753144,7.31541288458912,"Communicable, maternal, neonatal, and nutritional diseases"
"176","Neonatal preterm birth","Infant",2.51042717784791,9.34780736551617,"Communicable, maternal, neonatal, and nutritional diseases"
"177","Neonatal sepsis and other neonatal infections","Infant",0.810927656879893,3.01956399722417,"Communicable, maternal, neonatal, and nutritional diseases"
"178","Neural tube defects","Infant",0.143610820539604,0.534748148782692,"Non-communicable diseases"
"179","Neuroblastoma and other peripheral nervous cell tumors","Infant",0.0119068703601156,0.0443363310573903,"Non-communicable diseases"
"180","Non-melanoma skin cancer (basal-cell carcinoma)","Ageing-related",9.33971877062551e-05,0.000223259509228986,"Non-communicable diseases"
"181","Non-melanoma skin cancer (squamous-cell carcinoma)","Ageing-related",0.0475917550079376,0.11376479450148,"Non-communicable diseases"
"182","Non-rheumatic calcific aortic valve disease","Ageing-related",0.0840854351318581,0.201000409561444,"Non-communicable diseases"
"183","Non-rheumatic degenerative mitral valve disease","Ageing-related",0.0365557794675737,0.0873840592404364,"Non-communicable diseases"
"184","Non-venomous animal contact","Infant",0.0315634153587928,0.117529291100451,"Injuries"
"185","Nonalcoholic fatty liver disease including cirrhosis","Adult (late)",0.0903539079029691,0.590625300560284,"Non-communicable diseases"
"186","Onchocerciasis","Adult (early)",0.0311738908889153,0.194681794524847,"Communicable, maternal, neonatal, and nutritional diseases"
"187","Opioid use disorders","Adult (early)",0.457112634779937,2.85468080824593,"Non-communicable diseases"
"188","Orofacial clefts","Infant",0.0198640823241874,0.0739657444349531,"Non-communicable diseases"
