"","cause_name","cluster_4","daly_percent_condition","daly_percent_condcluster"
"127","Interstitial lung disease and pulmonary sarcoidosis","Ageing-related",0.159486024967025,0.381240297887847
"128","Intracerebral hemorrhage","Ageing-related",2.79587084359805,6.6833356307529
"129","Invasive Non-typhoidal Salmonella (iNTS)","Infant",0.208991729405435,0.778199999070613
"130","Iodine deficiency","Adult (early)",0.0802392286713115,0.501096160395396
"131","Ischemic heart disease","Ageing-related",6.87897741525043,16.4437191252091
"132","Ischemic stroke","Ageing-related",2.3936750037234,5.72191432857444
"133","Kidney cancer","Ageing-related",0.145202308304067,0.347096062387226
"134","Klinefelter syndrome","Adult (early)",0.000238068761336048,0.00148674587469251
"135","Larynx cancer","Adult (late)",0.127321406201839,0.832274392453234
"136","Late maternal deaths","Adult (early)",0.0173076529879115,0.108086762563798
"137","Latent tuberculosis infection","Adult (early)",0,0
"138","Leprosy","Adult (late)",0.0006639635364798,0.00434019592949521
"139","Lip and oral cavity cancer","Adult (late)",0.230676669496697,1.50788693500721
"140","Liver cancer due to NASH","Adult (late)",0.0377822563842957,0.246975001422015
"141","Liver cancer due to alcohol use","Adult (late)",0.0872048794928741,0.570040735992446
"142","Liver cancer due to hepatitis B","Adult (late)",0.214983300495702,1.40530254216645
"143","Liver cancer due to hepatitis C","Ageing-related",0.121302555838606,0.289965359234636
"144","Liver cancer due to other causes","Adult (late)",0.0254878226139895,0.166608763709269
"145","Low back pain","Adult (late)",2.51774206696146,16.4579728707398
"146","Lower extremity peripheral arterial disease","Ageing-related",0.0665631707897313,0.15911465011109
"147","Lower respiratory infections","Infant",3.52908551002547,13.1408757104171
"148","Lymphatic filariasis","Adult (early)",0.0534315928571017,0.333681747293223
"149","Major depressive disorder","Adult (early)",1.69864933245449,10.60811117512
"150","Malaria","Infant",1.84402879536523,6.86641146480741
"151","Male infertility","Adult (early)",0.011678052258047,0.0729297532429596
"152","Malignant neoplasm of bone and articular cartilage","Adult (late)",0.107866782284923,0.705103433665758
"153","Malignant skin melanoma","Ageing-related",0.0652383505056941,0.155947758969132
"154","Maternal abortion and miscarriage","Adult (early)",0.0451136446642203,0.281735935115807
"155","Maternal deaths aggravated by HIV/AIDS","Adult (early)",0.00343557007469472,0.0214552283428713
"156","Maternal hemorrhage","Adult (early)",0.113822427361453,0.710824147517014
"157","Maternal hypertensive disorders","Adult (early)",0.110281722677249,0.688712350684866
"158","Maternal obstructed labor and uterine rupture","Adult (early)",0.0402973968091286,0.251658336568778
